monthly_upi_transactions,avg_transaction_amount,bill_payment_timeliness,mobile_recharge_frequency,age,location_type,income,occupation,savings_ratio,spending_ratio,payment_delay_days,loan_repaid,digital_activity_score,financial_discipline_score,is_underbanked
15,781.9,0.817,13,20,rural,87562.45,driver,0.246,0.69,7,1,11.7285,0.5315,0
22,50.0,0.675,3,26,rural,19433.16,small_business,0.453,0.248,3,0,1.1,0.5640000000000001,0
23,1042.11,0.659,11,25,rural,45208.38,nurse,0.106,0.966,1,1,23.968529999999998,0.3825,0
15,733.85,1.0,11,50,urban,21783.08,farmer,0.152,0.614,16,1,11.00775,0.576,0
22,1225.29,1.0,14,23,urban,24869.25,gig_worker,0.08,0.711,20,0,26.956379999999996,0.54,0
23,620.57,1.0,11,58,rural,13210.39,nurse,0.437,0.699,7,0,14.27311,0.7185,0
14,1716.45,0.798,15,56,urban,47673.03,small_business,0.433,0.57,7,1,24.0303,0.6155,0
29,631.37,0.482,3,21,urban,39098.04,farmer,0.122,0.697,9,1,18.30973,0.302,0
22,906.33,0.807,5,30,urban,21635.41,student,0.366,0.499,14,0,19.93926,0.5865,0
20,359.01,0.684,13,19,urban,57717.66,teacher,0.205,0.663,13,1,7.1802,0.4445,0
19,898.48,0.736,7,22,urban,59616.97,driver,0.01,0.693,17,1,17.07112,0.373,0
26,984.39,0.813,4,44,rural,49329.93,small_business,0.295,0.627,9,1,25.59414,0.5539999999999999,0
17,566.9,1.0,1,49,rural,63072.06,farmer,0.348,0.691,23,0,9.6373,0.6739999999999999,0
25,1229.5,0.838,3,38,rural,35717.82,nurse,0.385,0.795,12,0,30.7375,0.6114999999999999,0
27,569.02,1.0,3,25,urban,47802.74,farmer,0.231,0.888,7,1,15.363539999999999,0.6155,0
17,1417.02,0.698,1,55,urban,35787.31,teacher,0.169,1.044,16,0,24.08934,0.4335,0
10,164.98,1.0,8,25,urban,14868.0,small_business,0.146,0.797,25,0,1.6498,0.573,0
20,817.24,0.85,4,20,rural,45946.44,farmer,0.356,0.627,3,1,16.3448,0.603,0
24,2163.96,0.446,5,20,urban,44856.2,gig_worker,0.283,0.476,5,0,51.93504,0.3645,0
23,50.0,0.852,3,39,rural,41456.5,small_business,0.124,0.588,9,1,1.15,0.488,0
22,1326.99,0.947,4,23,rural,48729.76,small_business,0.262,0.435,2,1,29.19378,0.6045,0
14,1008.28,0.529,1,19,urban,67414.24,nurse,0.328,0.628,14,1,14.115920000000001,0.4285,0
17,696.51,0.77,13,40,urban,38320.44,student,0.332,0.733,5,0,11.84067,0.551,0
27,1399.73,0.727,13,19,rural,24770.96,artisan,0.22,0.747,4,0,37.79271,0.4735,0
24,1063.79,0.994,4,55,rural,37540.48,driver,0.407,0.715,11,0,25.53096,0.7005,0
12,702.31,0.741,2,34,urban,39536.88,artisan,0.102,0.717,20,0,8.427719999999999,0.4215,0
18,481.8,0.751,10,52,urban,59704.59,student,0.227,0.735,0,1,8.6724,0.489,0
15,638.48,0.663,14,51,rural,43919.94,gig_worker,0.36,0.901,0,1,9.577200000000001,0.5115000000000001,0
23,726.84,0.649,6,40,urban,21332.59,teacher,0.267,0.513,8,1,16.71732,0.458,0
22,762.12,0.643,2,47,urban,56498.24,farmer,0.233,0.556,0,1,16.76664,0.438,0
12,452.42,0.605,15,25,urban,53612.3,artisan,0.108,0.959,3,0,5.42904,0.3565,0
19,924.82,0.595,9,39,urban,43927.84,driver,0.027,0.559,6,0,17.57158,0.311,0
16,524.23,1.0,2,53,urban,59068.44,student,0.117,0.922,14,0,8.38768,0.5585,0
16,918.03,1.0,4,22,urban,62080.93,nurse,0.396,0.913,0,0,14.68848,0.698,0
19,1805.96,1.0,13,30,urban,35206.07,driver,0.122,0.576,6,1,34.31324,0.5609999999999999,0
11,1277.03,0.833,4,46,urban,25797.1,small_business,0.22,0.725,2,0,14.04733,0.5265,0
24,830.61,0.743,12,48,rural,41786.22,small_business,0.518,0.786,1,1,19.934639999999998,0.6305000000000001,0
16,259.36,0.914,11,33,rural,51659.01,teacher,0.374,1.023,9,1,4.149760000000001,0.644,0
21,920.91,1.0,1,59,rural,40103.61,gig_worker,0.197,0.671,11,0,19.33911,0.5985,0
15,1743.1,0.861,13,47,rural,24208.38,farmer,0.183,0.664,7,1,26.1465,0.522,0
12,345.97,0.749,11,33,urban,44928.1,farmer,0.436,0.817,10,0,4.15164,0.5925,0
23,50.0,0.926,7,29,urban,6000.0,nurse,0.169,0.548,0,0,1.15,0.5475,0
24,1007.73,1.0,1,34,rural,36159.7,teacher,0.221,0.682,11,1,24.18552,0.6105,0
13,1618.67,0.678,13,33,urban,57320.99,farmer,0.192,0.29,12,1,21.04271,0.43500000000000005,0
20,1457.33,0.633,8,29,urban,58297.89,gig_worker,0.466,1.1,12,0,29.1466,0.5495,0
24,1677.7,1.0,3,25,rural,6000.0,student,0.219,0.97,0,0,40.2648,0.6095,0
28,206.08,1.0,14,37,urban,38533.49,small_business,0.171,0.678,12,0,5.77024,0.5855,0
17,650.74,0.633,8,20,urban,52786.96,student,0.324,0.514,11,1,11.06258,0.47850000000000004,0
24,1034.47,0.876,8,33,rural,20830.52,student,0.512,0.505,16,1,24.82728,0.694,0
36,50.0,0.759,10,47,rural,35304.82,teacher,0.037,0.785,0,0,1.8,0.398,0
24,836.17,0.596,12,40,urban,63738.9,driver,0.272,0.517,10,0,20.06808,0.434,0
12,584.07,0.605,14,45,rural,33285.06,artisan,0.096,0.463,5,1,7.00884,0.3505,0
31,726.73,0.717,10,57,rural,70775.55,artisan,0.435,0.434,0,0,22.52863,0.576,0
28,983.61,0.849,5,22,rural,28658.66,teacher,0.053,0.7,8,0,27.54108,0.451,0
17,681.46,0.947,14,37,urban,67377.84,student,0.342,0.725,0,1,11.58482,0.6445,0
15,305.0,0.749,14,57,urban,42604.14,teacher,0.11,1.031,6,0,4.575,0.4295,0
14,1202.76,0.771,3,18,rural,26190.11,gig_worker,0.466,0.562,6,1,16.838639999999998,0.6185,0
25,299.67,0.924,11,47,rural,67437.85,gig_worker,0.583,0.781,3,1,7.49175,0.7535000000000001,0
22,793.65,0.765,11,38,rural,20283.45,farmer,0.405,0.555,9,1,17.4603,0.585,0
14,434.07,0.773,12,37,urban,27672.5,artisan,0.214,0.525,0,1,6.07698,0.4935,0
11,1191.83,1.0,11,23,urban,50818.55,nurse,0.039,0.762,1,1,13.11013,0.5195,0
18,63.02,0.752,9,39,rural,43454.71,nurse,0.249,0.864,19,0,1.13436,0.5005,0
24,800.69,0.709,1,35,urban,46931.35,student,0.259,0.65,4,1,19.21656,0.484,0
14,1003.72,0.712,1,25,urban,35370.27,gig_worker,0.569,0.447,4,1,14.05208,0.6405,0
24,988.81,0.79,14,56,urban,20410.92,farmer,0.24,0.821,2,0,23.73144,0.515,0
29,1387.13,1.0,2,49,urban,30259.4,farmer,0.113,0.776,15,0,40.22677,0.5565,0
20,1263.6,0.898,13,50,rural,65767.19,farmer,0.251,0.793,10,0,25.272,0.5745,0
14,1076.46,0.798,10,33,rural,17934.34,student,0.163,1.002,0,0,15.070440000000001,0.48050000000000004,0
18,50.0,0.8,6,29,urban,71600.41,student,0.206,0.524,9,0,0.9,0.503,0
19,1137.83,0.959,2,55,urban,47685.46,gig_worker,0.544,0.816,15,1,21.618769999999998,0.7515000000000001,0
15,1454.55,0.8,4,51,rural,31257.51,nurse,0.093,0.795,12,0,21.81825,0.4465,0
17,461.57,0.797,6,31,urban,6000.0,farmer,0.364,0.678,14,0,7.84669,0.5805,0
21,1430.85,0.88,2,53,urban,8327.66,gig_worker,0.173,0.695,19,0,30.047849999999997,0.5265,0
25,1302.21,0.691,4,50,rural,35594.09,driver,0.215,0.759,0,0,32.55525,0.45299999999999996,0
16,497.94,1.0,7,40,urban,33413.21,driver,0.218,0.793,11,0,7.96704,0.609,0
28,586.32,1.0,1,19,rural,44119.47,small_business,0.075,0.538,2,1,16.416960000000003,0.5375,0
26,369.01,0.836,9,58,urban,72944.6,driver,0.308,0.854,2,1,9.59426,0.572,0
23,1379.54,0.799,10,38,rural,51676.69,teacher,0.01,0.781,9,1,31.729419999999998,0.4045,0
14,507.79,0.661,10,19,urban,39683.6,small_business,0.175,0.572,0,0,7.10906,0.41800000000000004,0
10,517.17,0.834,7,44,rural,63903.2,driver,0.264,0.757,6,1,5.1716999999999995,0.5489999999999999,0
12,732.78,0.642,9,26,urban,44711.77,teacher,0.307,0.768,17,0,8.79336,0.47450000000000003,0
19,286.82,0.793,7,18,urban,70794.76,driver,0.3,0.761,13,0,5.44958,0.5465,0
16,1094.48,0.954,11,28,rural,29902.45,gig_worker,0.051,0.677,0,1,17.511680000000002,0.5025,0
15,701.62,1.0,1,20,urban,21339.77,artisan,0.157,0.513,0,0,10.524299999999998,0.5785,0
24,1398.89,1.0,7,40,urban,6000.0,teacher,0.241,0.531,6,1,33.57336,0.6205,0
16,1275.72,0.903,11,43,urban,40102.6,farmer,0.107,0.98,3,0,20.41152,0.505,0
35,1665.34,0.662,9,21,rural,19776.45,gig_worker,0.247,0.693,11,0,58.286899999999996,0.4545,0
22,65.75,1.0,13,35,urban,19521.54,artisan,0.301,0.859,0,1,1.4465,0.6505,0
27,211.39,0.993,8,23,urban,60617.75,teacher,0.139,0.695,9,0,5.707529999999999,0.5660000000000001,0
21,851.53,0.747,12,52,rural,11002.17,gig_worker,0.316,0.491,10,0,17.88213,0.5315,0
26,908.69,0.641,4,39,urban,43864.05,farmer,0.182,0.782,7,0,23.625940000000003,0.4115,0
18,705.4,0.855,5,60,rural,40501.81,teacher,0.098,0.697,8,0,12.697199999999999,0.4765,0
27,1670.43,1.0,3,32,rural,43658.36,teacher,0.418,0.846,21,1,45.10161,0.709,0
9,649.63,0.743,10,39,rural,66913.84,artisan,0.147,0.647,6,1,5.8466700000000005,0.445,0
17,1083.78,0.848,10,54,rural,27137.56,gig_worker,0.01,0.588,13,0,18.424259999999997,0.429,0
17,1018.3,0.927,12,59,rural,66929.07,driver,0.143,0.334,0,1,17.3111,0.535,0
17,547.19,0.56,2,29,urban,10316.31,teacher,0.257,0.814,3,0,9.302230000000002,0.40850000000000003,0
18,1082.52,0.709,3,59,rural,53713.34,driver,0.271,0.741,2,0,19.48536,0.49,0
30,848.11,1.0,7,55,urban,68574.72,teacher,0.057,0.58,14,1,25.4433,0.5285,0
18,1469.3,0.473,8,35,urban,6000.0,nurse,0.313,0.76,11,1,26.4474,0.393,0
16,1431.63,1.0,2,52,rural,41362.93,small_business,0.214,0.499,13,1,22.906080000000003,0.607,0
22,50.0,1.0,9,47,urban,39898.85,driver,0.01,1.049,7,1,1.1,0.505,0
16,81.0,0.897,13,41,rural,43293.27,driver,0.01,0.355,0,1,1.296,0.4535,0
9,777.35,0.846,4,59,urban,72808.04,artisan,0.252,0.595,11,1,6.996150000000001,0.5489999999999999,0
8,1281.56,0.525,15,47,rural,28254.64,farmer,0.172,0.624,10,0,10.25248,0.34850000000000003,0
21,911.57,0.908,2,31,urban,20678.85,nurse,0.087,0.622,15,0,19.142970000000002,0.4975,0
13,1057.29,0.743,7,23,rural,43424.21,farmer,0.127,0.665,11,1,13.74477,0.435,0
22,2244.59,1.0,11,20,rural,62237.64,nurse,0.205,0.675,9,1,49.38098,0.6025,0
11,538.55,0.881,2,33,rural,52055.43,nurse,0.202,0.708,10,0,5.924049999999999,0.5415,0
12,1071.07,0.541,7,24,urban,42617.8,student,0.202,0.624,14,0,12.85284,0.37150000000000005,0
12,932.2,0.682,8,31,urban,37873.84,gig_worker,0.198,0.537,13,0,11.1864,0.44000000000000006,0
30,1279.48,0.539,13,26,urban,6000.0,gig_worker,0.516,0.725,4,1,38.3844,0.5275000000000001,0
25,1325.12,0.58,9,32,rural,52545.53,gig_worker,0.143,1.037,0,0,33.128,0.3615,0
14,1127.53,0.975,14,38,rural,54696.13,teacher,0.329,0.456,12,0,15.78542,0.652,0
25,1550.57,0.776,12,52,urban,41564.79,artisan,0.311,0.602,8,0,38.76425,0.5435,0
13,1519.97,0.69,12,19,rural,33635.04,farmer,0.133,0.779,6,1,19.759610000000002,0.4115,0
19,1057.07,0.815,11,44,rural,23131.88,small_business,0.01,0.923,15,0,20.084329999999998,0.4125,0
19,797.31,0.751,1,19,urban,57626.22,nurse,0.157,1.25,6,0,15.14889,0.454,0
36,994.94,0.848,2,52,rural,35414.41,nurse,0.01,0.891,10,0,35.817840000000004,0.429,0
16,50.0,1.0,2,35,rural,39312.52,artisan,0.01,0.545,17,0,0.8,0.505,0
11,587.09,0.817,14,31,urban,53326.75,driver,0.144,0.838,11,1,6.457990000000001,0.4805,0
33,367.14,1.0,7,37,urban,47885.53,teacher,0.232,0.749,2,0,12.11562,0.616,0
14,1295.06,0.476,6,35,urban,52139.06,small_business,0.188,0.506,5,1,18.13084,0.33199999999999996,0
18,1525.17,0.752,15,27,rural,45147.07,gig_worker,0.01,0.601,8,0,27.45306,0.381,0
15,1180.55,0.595,14,42,rural,45548.13,nurse,0.038,0.353,12,1,17.70825,0.3165,0
13,785.35,0.863,11,19,rural,45377.48,driver,0.243,0.37,11,0,10.209550000000002,0.5529999999999999,0
12,480.19,0.959,9,42,urban,50152.48,farmer,0.313,0.556,3,1,5.76228,0.636,0
17,1288.28,0.978,3,50,urban,51027.13,nurse,0.095,0.704,11,0,21.90076,0.5365,0
15,1372.67,0.796,8,53,urban,19955.26,driver,0.216,0.866,31,0,20.59005,0.506,0
21,802.23,1.0,5,48,urban,31250.5,farmer,0.251,0.621,10,1,16.84683,0.6255,0
36,879.91,0.877,5,31,rural,38339.55,teacher,0.479,0.52,4,1,31.676759999999998,0.6779999999999999,0
25,674.7,0.923,10,18,rural,50132.73,gig_worker,0.457,1.032,16,1,16.8675,0.6900000000000001,0
27,1058.11,0.735,13,33,rural,70753.62,artisan,0.309,0.479,3,1,28.568969999999997,0.522,0
21,655.63,0.724,11,20,rural,27361.99,farmer,0.01,0.507,17,0,13.768229999999999,0.367,0
14,810.53,0.765,12,52,urban,57815.73,nurse,0.442,0.599,6,1,11.34742,0.6035,0
14,264.6,1.0,5,58,urban,31758.96,student,0.291,0.961,12,0,3.7044000000000006,0.6455,0
19,981.12,0.735,8,23,urban,66669.3,student,0.123,0.81,3,1,18.64128,0.429,0
28,1725.67,0.544,7,42,rural,76422.19,small_business,0.516,0.574,11,1,48.318760000000005,0.53,0
19,1023.66,0.783,11,30,rural,10535.75,farmer,0.173,0.647,10,0,19.449540000000002,0.478,0
22,1371.2,0.713,12,51,urban,36126.0,small_business,0.543,0.662,15,1,30.166400000000003,0.628,0
27,1231.78,1.0,7,25,urban,6000.0,small_business,0.051,0.367,5,0,33.25806,0.5255,0
16,788.89,0.849,4,38,urban,41564.79,farmer,0.156,0.748,17,1,12.62224,0.5025,0
24,843.15,0.903,14,51,urban,12704.55,artisan,0.01,0.68,11,0,20.235599999999998,0.4565,0
14,576.14,1.0,15,21,urban,53233.19,artisan,0.15,0.644,0,1,8.06596,0.575,0
30,1339.34,0.876,6,42,urban,49865.71,student,0.401,0.732,10,1,40.1802,0.6385000000000001,0
24,1084.12,0.645,13,32,urban,56422.4,teacher,0.136,0.821,0,0,26.018879999999996,0.3905,0
15,1351.49,0.89,1,21,rural,52942.5,artisan,0.095,0.673,0,0,20.27235,0.4925,0
29,903.54,1.0,6,29,rural,50731.17,farmer,0.408,0.652,5,1,26.20266,0.704,0
21,50.0,0.82,5,49,urban,44013.43,student,0.244,0.821,0,0,1.05,0.532,0
11,489.32,0.834,13,49,urban,39644.15,artisan,0.24,0.47,2,0,5.3825199999999995,0.5369999999999999,0
10,1350.66,0.728,1,45,urban,60352.76,driver,0.056,0.45,7,0,13.5066,0.392,0
32,751.74,0.857,13,30,urban,42221.0,gig_worker,0.068,0.65,7,0,24.05568,0.4625,0
18,1381.41,0.903,11,48,urban,51453.22,small_business,0.183,0.815,1,1,24.865380000000002,0.543,0
26,1555.34,1.0,1,31,urban,6000.0,gig_worker,0.01,0.666,8,1,40.43884,0.505,0
21,1314.94,1.0,3,37,rural,20848.76,student,0.34,0.863,17,1,27.61374,0.67,0
23,1295.9,0.912,4,35,rural,59644.04,nurse,0.312,0.636,7,0,29.8057,0.612,0
19,50.0,1.0,1,46,urban,29968.17,small_business,0.283,0.971,4,0,0.95,0.6415,0
20,733.13,0.882,12,23,rural,16883.56,student,0.023,0.652,10,0,14.662600000000001,0.4525,0
22,846.99,0.932,14,49,urban,53543.26,nurse,0.326,0.803,0,1,18.633779999999998,0.629,0
17,1297.4,1.0,10,46,urban,42024.02,driver,0.092,0.815,15,0,22.0558,0.546,0
18,906.83,0.805,7,60,rural,34675.09,driver,0.406,0.761,16,0,16.32294,0.6055,0
18,102.41,0.62,2,19,rural,69164.0,gig_worker,0.174,0.705,21,1,1.8433799999999998,0.397,0
27,113.79,1.0,11,40,rural,66073.81,driver,0.232,0.644,11,1,3.0723300000000004,0.616,0
22,607.53,0.942,4,36,rural,38618.93,student,0.315,0.759,0,1,13.36566,0.6285,0
22,2194.08,0.612,12,48,rural,55002.76,student,0.265,0.871,15,0,48.26976,0.4385,0
10,990.22,0.794,9,22,rural,6000.0,farmer,0.01,0.905,0,0,9.9022,0.402,0
13,1106.01,0.904,8,36,rural,61680.46,small_business,0.01,0.564,16,1,14.378129999999999,0.457,0
10,112.95,0.687,2,51,urban,22441.44,nurse,0.102,0.532,9,0,1.1295,0.3945,0
18,1401.77,0.599,11,27,rural,15861.45,artisan,0.281,0.483,4,0,25.23186,0.44,0
14,691.29,0.968,11,42,rural,9865.23,gig_worker,0.478,0.458,5,1,9.67806,0.723,0
20,1602.31,0.489,9,19,rural,8474.07,gig_worker,0.174,0.757,6,0,32.0462,0.3315,0
31,228.62,0.727,1,28,urban,61445.86,driver,0.342,0.786,15,1,7.08722,0.5345,0
23,803.07,0.723,6,48,rural,53360.6,driver,0.322,0.907,0,1,18.47061,0.5225,0
15,594.29,0.641,3,32,urban,28214.53,student,0.019,0.69,10,1,8.914349999999999,0.33,0
17,1167.54,0.757,1,26,urban,41564.79,nurse,0.219,0.619,13,0,19.84818,0.488,0
11,1339.97,0.784,8,40,urban,31290.33,small_business,0.13,1.021,0,1,14.73967,0.457,0
12,535.16,0.274,6,36,rural,47825.69,small_business,0.082,0.625,20,0,6.42192,0.17800000000000002,0
16,1252.51,0.87,4,26,rural,33318.44,student,0.475,0.441,16,0,20.04016,0.6725,0
22,1559.4,0.968,3,52,urban,39840.66,gig_worker,0.277,0.56,3,1,34.3068,0.6225,0
20,1340.49,1.0,13,38,urban,25652.46,nurse,0.095,0.515,9,1,26.8098,0.5475,0
29,563.14,0.811,10,26,urban,28323.28,gig_worker,0.131,0.853,1,1,16.33106,0.47100000000000003,0
26,638.02,0.432,2,45,rural,41564.79,student,0.239,0.537,5,1,16.58852,0.3355,0
22,743.65,0.971,13,24,urban,54686.02,artisan,0.276,0.943,0,1,16.3603,0.6234999999999999,0
13,1323.4,0.833,5,33,urban,34545.77,teacher,0.01,0.687,8,1,17.2042,0.4215,0
23,1064.53,0.956,15,33,urban,14540.28,small_business,0.42,0.73,0,1,24.484189999999998,0.688,0
26,220.99,0.84,8,50,urban,86482.45,nurse,0.251,0.849,1,0,5.74574,0.5455,0
24,842.01,0.92,12,21,urban,42660.54,artisan,0.081,0.872,11,1,20.208239999999996,0.5005000000000001,0
21,1667.83,0.657,8,21,rural,47618.53,nurse,0.582,0.63,10,1,35.02443,0.6194999999999999,0
25,1342.93,0.613,3,56,urban,19296.06,gig_worker,0.285,0.88,1,1,33.57325,0.44899999999999995,0
21,549.59,0.797,9,57,rural,63874.2,driver,0.452,0.718,0,0,11.541390000000002,0.6245,0
16,82.03,0.813,10,34,urban,66622.11,student,0.407,0.762,12,0,1.31248,0.61,0
26,600.51,0.675,5,54,urban,11255.37,nurse,0.523,0.386,12,0,15.61326,0.599,0
14,848.31,0.678,7,56,urban,40157.06,gig_worker,0.379,0.802,15,1,11.87634,0.5285,0
23,644.34,0.672,11,46,rural,38752.13,farmer,0.362,0.503,15,0,14.819820000000002,0.517,0
16,359.15,1.0,9,53,rural,84992.04,driver,0.335,0.925,10,1,5.7463999999999995,0.6675,0
29,1142.95,0.647,7,55,rural,67985.05,driver,0.436,1.06,6,0,33.14555,0.5415,0
17,50.0,0.912,10,56,rural,15885.99,small_business,0.136,0.442,4,0,0.85,0.524,0
19,1410.68,0.677,3,54,urban,28895.06,teacher,0.282,0.946,12,0,26.80292,0.47950000000000004,0
18,1227.47,0.902,2,52,rural,25926.11,small_business,0.138,0.775,1,0,22.094459999999998,0.52,0
22,1063.49,1.0,12,24,rural,48690.17,farmer,0.36,0.584,11,1,23.39678,0.6799999999999999,0
16,1147.89,1.0,7,44,urban,70299.76,gig_worker,0.175,0.383,0,1,18.36624,0.5875,0
30,708.0,0.767,10,45,rural,43965.13,student,0.186,0.115,12,1,21.24,0.47650000000000003,0
20,836.44,0.869,8,39,urban,51020.99,driver,0.01,0.889,9,0,16.728800000000003,0.4395,0
15,1584.91,0.74,12,31,urban,30042.44,driver,0.519,0.903,1,0,23.77365,0.6295,0
15,773.94,0.989,12,24,urban,50924.54,artisan,0.034,0.577,7,0,11.6091,0.5115,0
22,1042.1,0.806,4,54,urban,33505.48,nurse,0.284,0.536,7,0,22.926199999999998,0.545,0
16,1113.47,1.0,1,39,urban,12466.33,student,0.312,0.684,19,0,17.81552,0.656,0
12,902.68,0.648,6,22,urban,49755.67,teacher,0.432,0.665,6,1,10.83216,0.54,0
25,742.97,0.676,9,19,urban,41822.66,teacher,0.146,0.855,10,0,18.57425,0.41100000000000003,0
23,50.0,0.935,4,44,urban,22250.44,nurse,0.016,0.679,11,0,1.15,0.47550000000000003,0
18,1257.87,0.898,3,38,rural,71616.94,student,0.364,0.857,6,0,22.641659999999995,0.631,0
9,1388.91,1.0,6,55,rural,28203.83,farmer,0.394,0.557,18,0,12.50019,0.6970000000000001,0
24,886.33,0.774,6,32,urban,52963.82,teacher,0.275,0.717,8,1,21.27192,0.5245,0
17,1471.66,0.72,4,38,urban,35474.13,driver,0.227,0.803,0,0,25.01822,0.4735,0
24,1039.95,0.717,7,27,urban,69784.39,farmer,0.215,0.622,8,1,24.958800000000004,0.46599999999999997,0
32,50.0,0.768,11,40,rural,37723.42,small_business,0.054,0.665,23,1,1.6,0.41100000000000003,0
18,322.71,0.885,2,56,urban,11856.69,student,0.01,1.033,4,0,5.80878,0.4475,0
23,605.5,0.523,1,22,urban,56580.04,small_business,0.469,0.928,10,0,13.9265,0.496,0
13,544.98,0.598,11,18,urban,69711.79,farmer,0.222,0.467,3,1,7.08474,0.41,0
21,887.13,0.861,6,30,rural,34302.99,driver,0.343,0.734,6,1,18.62973,0.602,0
11,391.03,0.887,3,38,urban,54219.93,artisan,0.167,0.327,16,0,4.30133,0.527,0
9,1701.74,0.762,3,43,urban,44329.77,small_business,0.167,0.763,13,0,15.31566,0.4645,0
15,50.0,0.902,13,38,urban,35111.11,gig_worker,0.15,0.527,10,0,0.75,0.526,0
9,809.55,0.546,1,35,urban,57133.69,driver,0.191,0.643,8,1,7.28595,0.36850000000000005,0
26,475.28,0.686,13,54,rural,27599.35,nurse,0.389,0.785,7,1,12.35728,0.5375000000000001,0
30,198.47,0.682,2,49,rural,42584.91,teacher,0.24,0.73,9,1,5.9541,0.461,0
21,1144.84,0.662,3,53,rural,46632.42,artisan,0.472,0.533,15,0,24.04164,0.567,0
21,344.26,0.97,1,34,rural,45979.61,artisan,0.05,0.44,8,1,7.22946,0.51,0
32,870.18,0.991,8,52,urban,28042.68,farmer,0.193,0.755,10,1,27.84576,0.592,0
25,374.41,0.415,6,28,rural,79072.89,teacher,0.212,0.551,0,0,9.36025,0.3135,0
17,50.0,0.464,9,38,rural,64720.42,nurse,0.329,0.635,2,0,0.85,0.3965,0
16,738.6,0.843,1,43,urban,59827.43,small_business,0.115,0.459,17,1,11.8176,0.479,0
19,1002.87,0.713,11,21,rural,67797.83,artisan,0.393,0.267,13,1,19.05453,0.5529999999999999,0
20,551.03,0.796,14,51,urban,43237.71,gig_worker,0.315,0.792,11,1,11.020599999999998,0.5555,0
18,1508.2,0.878,12,35,urban,35316.77,driver,0.46,0.597,15,0,27.1476,0.669,0
20,997.9,1.0,15,57,rural,22397.36,student,0.144,0.541,10,1,19.958,0.572,0
18,1212.22,0.807,4,52,rural,29338.23,artisan,0.01,0.929,10,0,21.81996,0.40850000000000003,0
17,521.44,0.974,4,58,rural,23747.58,artisan,0.365,0.826,5,1,8.864480000000002,0.6695,0
24,534.29,0.742,5,46,urban,32494.1,driver,0.384,0.751,9,1,12.822959999999998,0.563,0
17,680.45,0.902,11,46,rural,46976.56,nurse,0.01,0.698,0,1,11.567650000000002,0.456,0
21,673.44,0.947,2,55,urban,58452.45,farmer,0.305,0.44,1,1,14.142240000000001,0.626,0
10,618.91,0.727,13,59,urban,57954.36,artisan,0.267,0.779,2,0,6.1891,0.497,0
29,295.24,0.698,1,38,rural,20912.86,artisan,0.138,0.907,19,0,8.561960000000001,0.418,0
20,1245.27,0.734,12,59,rural,54404.33,teacher,0.453,0.674,7,1,24.9054,0.5935,0
22,116.48,0.977,9,30,urban,62589.43,student,0.157,0.891,10,1,2.56256,0.567,0
14,1162.93,0.951,5,58,rural,37423.77,gig_worker,0.475,0.525,3,1,16.28102,0.713,0
20,1264.86,0.371,8,34,urban,63559.5,small_business,0.361,0.411,6,0,25.297199999999997,0.366,0
16,706.53,0.744,14,26,urban,57764.4,farmer,0.328,0.569,4,1,11.30448,0.536,0
27,2117.63,0.897,12,58,urban,19237.36,student,0.293,0.72,0,1,57.176010000000005,0.595,0
17,854.58,1.0,3,18,rural,81451.25,gig_worker,0.33,0.681,2,1,14.52786,0.665,0
15,703.67,0.802,4,19,urban,29118.34,gig_worker,0.131,0.629,0,0,10.55505,0.4665,0
20,726.61,0.887,4,46,rural,59233.56,nurse,0.041,0.776,9,1,14.532200000000001,0.464,0
15,1392.98,0.838,6,50,urban,58582.0,student,0.475,0.661,14,1,20.8947,0.6565,0
24,717.35,0.726,4,27,rural,19967.79,nurse,0.135,0.427,5,0,17.2164,0.4305,0
19,1167.53,0.578,5,57,urban,45221.63,driver,0.188,0.77,11,0,22.18307,0.383,0
25,174.0,0.595,12,38,rural,58360.49,small_business,0.019,0.563,6,1,4.35,0.307,0
16,923.29,0.962,14,45,urban,19776.96,farmer,0.313,0.706,14,0,14.772639999999999,0.6375,0
19,1343.38,0.842,5,28,rural,43793.09,driver,0.061,0.612,6,1,25.52422,0.4515,0
19,829.6,0.687,8,51,rural,59868.11,artisan,0.282,0.426,18,0,15.7624,0.48450000000000004,0
21,471.85,0.563,9,25,rural,61030.33,small_business,0.171,0.742,5,0,9.908850000000001,0.367,0
15,707.48,0.959,11,39,urban,34852.69,teacher,0.255,0.561,19,0,10.612200000000001,0.607,0
27,137.82,0.641,8,25,rural,69798.65,teacher,0.473,0.513,0,1,3.7211399999999997,0.5569999999999999,0
18,1306.16,0.942,12,32,urban,65499.4,driver,0.05,0.6,8,0,23.51088,0.496,0
27,1460.19,0.796,5,34,rural,46342.1,farmer,0.143,0.748,4,0,39.42513,0.46950000000000003,0
22,786.57,0.812,12,40,rural,30138.87,small_business,0.105,0.684,11,0,17.30454,0.4585,0
17,1606.52,1.0,12,41,urban,21014.67,teacher,0.294,0.49,0,1,27.31084,0.647,0
15,1220.52,0.442,6,36,urban,48795.82,teacher,0.282,0.615,1,0,18.3078,0.362,0
14,859.18,0.662,4,22,urban,68361.23,farmer,0.188,0.766,3,1,12.028519999999999,0.42500000000000004,0
18,1522.5,1.0,2,49,rural,39351.25,student,0.396,0.676,2,1,27.405,0.698,0
16,1206.39,0.988,11,18,rural,26536.53,driver,0.224,0.504,5,0,19.30224,0.606,0
